Item,Test code,Trade name,Generic name,Drug form,Dasage,Batch numbers,Exp.Date,Manufacturer,Country,Content/value deviation, API test result,Accepted range,Test result 0=Substadard 1=Meet standard 
127,ICARS:24.08.19.154,DOXYLCAP,Doxycycline,Capsules,100mg,L495,18/01/28,Bankok lab,Thailand,0.2216 g        (-4.1; 3.8),104.1%,90.0 - 120.0%,1
128,ICARS:24.08.19.155,HEROMYCIN,Tetracycline,Capsules,250mg,2201004,01/11/2025,KPN,Laos,0.4599 g        (-3.1 ; 2.5),101.8%,90.0 - 120.0%,1
129,ICARS:24.08.19.156,AZILEB 500,Azithromycin,Taples,500mg,T3763,10.2025,LEBEN,India,0.5964 g        (-1.1 ; 2.0),99.9%,90.0 - 110.0%,1
130,ICARS:24.08.19.157,AMPI 500,Ampicillin,Capsules,500mg,240501,05.2027,Alliance,Laos,0.4947g        (-5.8 ; 2.8),98.5%,90.0 - 110.0%,1
131,ICARS:24.08.19.158,AMOX 500,Amoxicillin,Capsules,500mg,240401,04.2027,Alliance,Laos,0.4879 g        (-2.8 ; 3.1),92.6%,90.0 - 110.0%,1
132,ICARS:24.08.19.159,AZITROMAX,Azithromycin,Tables,250mg,071023,102026,CBF,Laos,0.3349g          (-1.3 ; 1.7),99.3%,90.0 - 110.0%,1
133,ICARS:24.08.19.160,AZITROMICIN,Azithromycin,Tables,500mg,240038002,03.2027,PF3,Laos,0.7099 g        (-1.4 ; 1.1),99.7%,90.0 - 110.0%,1
134,ICARS:24.08.19.161,KLORAMPHENICOL,Chloramphenicol,Capsules,250mg,313310,3/9/2026,Coduphar,Laos,0.3941 g        (-5.9; 5.3),99.6%,90.0 - 110.0%,1
135,ICARS:24.08.19.162,METRODYL500,Metronidazole,Taples,500mg,2401020,140123,PDC2,Laos,0.6277 g        (-3.9 ; 4.7),100.1%,90.0 - 110.0%,1
136,ICARS:24.08.19.163,METRONIDAZOL,Metronidazole,Tables,250mg,010123,07.2025,CBF,Laos,0.4547g        (-3.0 ; 4.0),104.2%,90.0 - 110.0%,1
137,ICARS:24.08.19.164,METROZOL,Metronidazole,Tables,500mg,030524,05.2027,CBF,Laos,0.5709 g       (-2.7 ; 4.7),104.8%,93.0 - 107.0%,1
138,ICARS:24.08.19.165,ERY 500,Erythromycin,Tables,500mg,020524,11.2026,CBF,Laos,0.6138g        (-3.4 ; 1.7),97.0%,90.0 - 120.0%,1
139,ICARS:24.08.19.166,DI -ERY 500,Erythromycin,Tables,500mg,001,06.2026,PF3,Laos,0.6849g        (-2.5 ; 2.1),93.0%,90.0 - 120.0%,1
140,ICARS:24.08.19.167,DOXYCYCLINE,Doxycycline,Capsules,100mg,312206,09.2026,Coduphar,Laos,2472g        (-5.9 ; 5.7),104.6%,90.0 - 120.0%,1
141,ICARS:24.08.19.168,DOXY 100,Doxycycline,Capsules,100mg,2305037,250526,PDC2,Laos,0.1873 g        (-4.8; 6.6),103.0%,90.0 - 120.0%,1
142,ICARS:24.08.19.169,PENICILLIN  V,Penicillin,Tables,400.000,301105,10.2025,Coduphar,Laos,0.3891 g        (-1.9 ; 2.6),100.0%,90.0 - 120.0%,1
143,ICARS:24.08.19.170,METROZOL,Metronidazole,Tables,500mg,030524,052027,CBF,Laos,0.5681g        (-2.2 ; 3.0),104.1%,93.0 - 107.0%,1
144,ICARS:24.08.19.171,HYROMYCIN,Tetracycline,Capsules,250mg,63100122,181069,HERO,Thailand,0.2738g        (-2.9 ; 2.3),108.3%,90.0 - 120.0%,1
145,ICARS:24.08.19.172,AMOXYCILLINE,Amoxicillin,Capsules,500mg,2446010,03.2027,KPN,Laos,0.5680 g        (-1.8 ; 4.9),99.0%,90.0 - 110.0%,1
146,ICARS:24.08.19.173,ERY 500,Erythromycin,Tables,500mg,020524,11.2026,CBF,Laos,0.5988 g        (-1.4 ; 2.7),95.2%,90.0 - 120.0%,1
147,ICARS:24.08.19.174,KLORAMPHENICOL,Chloramphenicol,Capsules,250mg,313304,17/5/2026,Coduphar,Laos,03938 g        (-7.4 ; 7.2),99.3%,90.0 - 110.0%,1
